,row_id,x,y,accuracy,time,place_id,hour,weekday,month,year,day
69247,69247,1.0349,2.7361,59,610847,6424972551,4.78333333333,4.19930555556,2.13997685185,1.16218987823,59.1993055556
69412,69412,1.0371,2.7308,112,329039,6424972551,11.9833333333,4.49930555556,7.61664351852,0.626025494673,228.499305556
79270,79270,1.195,2.5842,76,548458,4022692381,20.9666666667,2.87361111111,0.695787037037,1.04348934551,15.8736111111
79915,79915,1.101,2.5473,174,762732,4932578245,16.2,4.675,5.65583333333,1.45116438356,164.675
82065,82065,1.04,2.6124,166,689198,5283227804,14.6333333333,2.60972222222,3.95365740741,1.31125951294,113.609722222
82791,82791,1.2264,2.7481,7,195021,6780386626,10.35,2.43125,4.514375,0.371044520548,135.43125
83494,83494,1.2462,2.663,73,374791,6603539415,6.51666666667,1.27152777778,8.67571759259,0.713072678843,260.271527778
84991,84991,1.0749,2.5814,18,67953,1812226671,4.55,5.18958333333,1.57298611111,0.12928652968,47.1895833333
87039,87039,1.2428,2.5868,68,561374,6766324666,20.2333333333,4.84305555556,0.994768518519,1.06806316591,24.8430555556
87312,87312,1.0438,2.5872,3,23023,1097200869,23.7166666667,1.98819444444,0.532939814815,0.0438032724505,15.9881944444
87477,87477,1.2387,2.5881,56,557217,6766324666,22.95,1.95625,0.898541666667,1.06015410959,21.95625
87614,87614,1.0619,2.5169,10,174442,7047598152,3.36666666667,2.14027777778,4.03800925926,0.331891171994,121.140277778
88147,88147,1.0189,2.6175,60,330482,7098464262,12.0333333333,5.50138888889,7.6500462963,0.628770928463,229.501388889
89210,89210,1.1979,2.5138,65,128173,3992589015,0.216666666667,5.00902777778,2.96696759259,0.243860350076,89.0090277778
93237,93237,1.1818,2.522,60,145522,3992589015,1.36666666667,3.05694444444,3.36856481481,0.276868340944,101.056944444
94695,94695,1.0313,2.5734,66,172502,1097200869,19.0333333333,0.793055555556,3.99310185185,0.328200152207,119.793055556
95086,95086,1.2295,2.7407,175,294444,6780386626,11.4,1.475,6.81583333333,0.560205479452,204.475
99210,99210,1.1653,2.5471,64,500669,2355236719,16.4833333333,4.68680555556,11.5895601852,0.952566590563,347.686805556
101745,101745,1.0581,2.5209,63,764333,6399991653,18.8833333333,5.78680555556,5.69289351852,1.45421042618,165.786805556
101854,101854,1.0548,2.6722,64,487447,9632980559,12.1166666667,2.50486111111,11.2834953704,0.927410578387,338.504861111
104995,104995,1.1324,2.6292,63,516754,5606572086,20.5666666667,1.85694444444,11.9618981481,0.983169710807,358.856944444
106345,106345,1.0756,2.569,198,279837,1285051622,7.95,5.33125,6.47770833333,0.532414383562,194.33125
110126,110126,1.2195,2.7001,66,542327,6683426742,14.7833333333,5.61597222222,0.553865740741,1.03182458143,11.6159722222
111416,111416,1.0294,2.7449,96,733146,7175032540,3.1,5.12916666667,4.97097222222,1.39487442922,144.129166667
111855,111855,1.2358,2.7319,20,729408,6780386626,12.8,2.53333333333,4.88444444444,1.38776255708,141.533333333
112761,112761,1.1336,2.6218,70,45908,5606572086,21.1333333333,3.88055555556,1.06268518519,0.0873439878234,31.8805555556
113038,113038,1.0772,2.6533,24,724856,5270522918,8.93333333333,6.37222222222,4.77907407407,1.37910197869,138.372222222
114534,114534,1.0286,2.5522,126,696342,2509622106,13.7,0.570833333333,4.11902777778,1.32485159817,118.570833333
116062,116062,1.2266,2.6778,77,274864,3952821602,21.0666666667,1.87777777778,6.36259259259,0.52295281583,190.877777778
116295,116295,1.1013,2.6504,26,341207,5270522918,22.7833333333,5.94930555556,7.89831018519,0.649176179604,236.949305556
117510,117510,1.1783,2.6998,60,386334,6683426742,6.9,2.2875,8.94291666667,0.735034246575,268.2875
117576,117576,1.1839,2.52,78,676199,3992589015,13.9833333333,0.582638888889,3.65275462963,1.28652777778,104.582638889
118018,118018,1.0247,2.6089,11,192099,2853489883,9.65,0.402083333333,4.44673611111,0.365485159817,133.402083333
119024,119024,1.1265,2.6749,3,79618,2215268322,6.96666666667,6.29027777778,1.84300925926,0.15148021309,55.2902777778
120594,120594,1.2304,2.6924,50,621239,8258328058,9.98333333333,4.41597222222,2.38053240741,1.18196156773,66.4159722222
121669,121669,1.235,2.7188,56,57567,8048985799,23.45,4.97708333333,1.33256944444,0.109526255708,39.9770833333
121729,121729,1.2324,2.6027,69,497734,7551043473,15.5666666667,2.64861111111,11.5216203704,0.946982496195,345.648611111
122225,122225,1.0599,2.5737,27,745905,3014718150,23.75,6.98958333333,5.26631944444,1.41914954338,152.989583333
122916,122916,1.0598,2.6816,57,154868,3312463746,13.1333333333,2.54722222222,3.58490740741,0.294649923896,107.547222222
125753,125753,1.1492,2.7446,63,38143,5009192468,11.7166666667,5.48819444444,0.882939814815,0.0725703957382,26.4881944444
127552,127552,1.0591,2.6677,64,552363,9632980559,14.05,5.58541666667,0.786180555556,1.05091894977,18.5854166667
128527,128527,1.2453,2.6673,72,512072,8258328058,14.5333333333,5.60555555556,11.8535185185,0.974261796043,355.605555556
129354,129354,1.0858,2.6065,57,743268,6861654717,3.8,5.15833333333,5.20527777778,1.41413242009,151.158333333
131488,131488,1.201,2.7465,65,611519,8048985799,15.9833333333,4.66597222222,2.15553240741,1.16346841705,59.6659722222
131507,131507,1.1255,2.6933,5,498399,6050820962,2.65,3.11041666667,11.5370138889,0.948247716895,346.110416667
131654,131654,1.0018,2.5894,174,363624,1913341282,12.4,0.516666666667,8.41722222222,0.691826484018,252.516666667
132786,132786,1.0247,2.6125,65,763845,1097200869,10.75,5.44791666667,5.68159722222,1.45328196347,165.447916667
137095,137095,1.0146,2.7419,72,416431,7540483733,4.51666666667,2.18819444444,9.63960648148,0.792296423135,289.188194444
137364,137364,1.2481,2.7293,26,538969,8048985799,6.81666666667,3.28402777778,0.476134259259,1.02543569254,9.28402777778
137410,137410,1.1225,2.5422,55,83658,7803770431,2.3,2.09583333333,1.93652777778,0.159166666667,58.0958333333
137746,137746,1.0571,2.5845,68,41018,1097200869,11.6333333333,0.484722222222,0.949490740741,0.0780403348554,28.4847222222
138118,138118,1.2452,2.6243,67,572662,5987464133,16.3666666667,5.68194444444,1.25606481481,1.08953957382,32.6819444444
140179,140179,1.1357,2.6168,10,153560,5606572086,15.3333333333,1.63888888889,3.55462962963,0.292161339422,106.638888889
142570,142570,1.0329,2.7146,73,163901,3188512868,19.6833333333,1.82013888889,3.79400462963,0.311835996956,113.820138889
144017,144017,1.1751,2.5694,66,538859,2355236719,4.98333333333,3.20763888889,0.473587962963,1.02522640791,9.20763888889
144047,144047,1.2481,2.6894,72,594199,9168423783,15.3166666667,6.63819444444,1.75460648148,1.13051560122,47.6381944444
145330,145330,1.2405,2.6297,89,561629,6746268598,0.483333333334,5.02013888889,1.0006712963,1.06854832572,25.0201388889
148197,148197,1.2452,2.7439,165,297287,6780386626,10.7833333333,3.44930555556,6.88164351852,0.565614535769,206.449305556
149615,149615,1.2207,2.7177,21,130628,2946102544,17.1333333333,6.71388888889,3.0237962963,0.248531202435,90.7138888889
153973,153973,1.0397,2.6503,76,103794,1435128522,1.9,2.07916666667,2.40263888889,0.19747716895,72.0791666667
155550,155550,1.2082,2.6214,74,169374,5987464133,14.9,5.62083333333,3.92069444444,0.322248858447,117.620833333
158278,158278,1.2397,2.5885,38,707029,6766324666,23.8166666667,0.992361111111,4.36641203704,1.34518455099,125.992361111
164649,164649,1.149,2.694,66,740971,2215268322,13.5166666667,3.56319444444,5.15210648148,1.40976217656,149.563194444
165027,165027,1.2242,2.7454,69,169740,3083446565,21.0,5.875,3.92916666667,0.322945205479,117.875
165876,165876,1.2246,2.7157,13,222123,6829001048,6.05,0.252083333333,5.14173611111,0.422608447489,154.252083333
165990,165990,1.242,2.7279,74,85565,8048985799,10.0833333333,3.42013888889,1.9806712963,0.162794901065,59.4201388889
166735,166735,1.2275,2.532,6,165319,1267801529,19.3166666667,2.80486111111,3.8268287037,0.314533866058,114.804861111
166776,166776,1.0792,2.581,8,47868,1097200869,5.8,5.24166666667,1.10805555556,0.0910730593607,33.2416666667
167218,167218,1.1312,2.5351,22,71347,4932578245,13.1166666667,0.546527777778,1.65155092593,0.13574391172,49.5465277778
168150,168150,1.0897,2.6295,71,133821,4423196276,22.35,1.93125,3.09770833333,0.254606164384,92.93125
170405,170405,1.1773,2.6932,19,67963,6683426742,4.71666666667,5.19652777778,1.57321759259,0.129305555556,47.1965277778
171005,171005,1.0016,2.604,69,38142,1097200869,11.7,5.4875,0.882916666667,0.0725684931507,26.4875
171136,171136,1.2096,2.534,6,193430,7803770431,7.83333333333,1.32638888889,4.4775462963,0.368017503805,134.326388889
171294,171294,1.1683,2.6597,64,680418,5261906348,12.3,3.5125,3.75041666667,1.29455479452,107.5125
173367,173367,1.2221,2.5486,3,581305,2242190980,16.4166666667,4.68402777778,1.45613425926,1.10598363775,38.6840277778
173558,173558,1.1545,2.7328,58,13780,5009192468,13.6666666667,2.56944444444,0.318981481481,0.0262176560122,9.56944444444
177817,177817,1.0588,2.5931,10,550623,1097200869,9.05,4.37708333333,0.745902777778,1.04760844749,17.3770833333
180578,180578,1.0018,2.6687,47,397538,9237487147,1.63333333333,3.06805555556,9.20226851852,0.756350837139,276.068055556
181518,181518,1.1793,2.6803,46,171919,3951163044,9.31666666667,0.388194444444,3.97960648148,0.327090943683,119.388194444
185640,185640,1.1908,2.5922,15,85095,3322359335,2.25,3.09375,1.96979166667,0.161900684932,59.09375
185861,185861,1.2406,2.7452,161,621005,7251559978,6.08333333333,4.25347222222,2.37511574074,1.18151636225,66.2534722222
186300,186300,1.1855,2.6503,71,655544,6502303487,5.73333333333,0.238888888889,3.17462962963,1.24722983257,90.2388888889
188713,188713,1.0124,2.5865,63,242279,1097200869,5.98333333333,0.249305555556,5.60831018519,0.460957001522,168.249305556
188821,188821,1.0998,2.6168,55,589232,7253878764,4.53333333333,3.18888888889,1.63962962963,1.12106544901,44.1888888889
192261,192261,1.0671,2.6618,71,68737,9632980559,17.6166666667,5.73402777778,1.59113425926,0.130778158295,47.7340277778
192593,192593,1.017,2.6978,24,115178,3312463746,23.6333333333,2.98472222222,2.66615740741,0.219136225266,79.9847222222
193341,193341,1.2492,2.645,58,142250,7707808405,18.8333333333,0.784722222222,3.29282407407,0.270643074581,98.7847222222
194410,194410,1.0998,2.6852,61,386204,6550625059,4.73333333333,2.19722222222,8.93990740741,0.734786910198,268.197222222
197245,197245,1.2236,2.6037,65,143890,3683087833,22.1666666667,1.92361111111,3.33078703704,0.273763318113,99.9236111111
198147,198147,1.01,2.6096,6,412002,4546989509,2.7,6.1125,9.53708333333,0.783869863014,286.1125
199584,199584,1.2343,2.5787,65,604879,3683087833,1.31666666667,0.0548611111111,2.0018287037,1.15083523592,55.0548611111
200129,200129,1.236,2.6693,2,187082,3533177779,22.0333333333,3.91805555556,4.33060185185,0.355939878234,129.918055556
200152,200152,1.2427,2.6175,102,616131,7707808405,20.85,0.86875,2.26229166667,1.17224315068,62.86875
201104,201104,1.0569,2.6727,66,195598,3312463746,19.9666666667,2.83194444444,4.52773148148,0.372142313546,135.831944444
202507,202507,1.1016,2.5367,11,255822,4932578245,15.7,2.65416666667,5.92180555556,0.486723744292,177.654166667
203508,203508,1.2205,2.7455,185,735468,3288553090,17.8,6.74166666667,5.02472222222,1.39929223744,145.741666667
208134,208134,1.001,2.6587,64,511498,6237569496,4.96666666667,5.20694444444,11.8402314815,0.973169710807,355.206944444
209369,209369,1.1659,2.5663,67,705918,2355236719,5.3,0.220833333333,4.34069444444,1.34307077626,125.220833333
210446,210446,1.1693,2.5185,269,546911,3992589015,19.1833333333,1.79930555556,0.659976851852,1.04054604262,14.7993055556
215164,215164,1.0274,2.5317,65,154944,6399991653,14.4,2.6,3.58666666667,0.294794520548,107.6
216421,216421,1.2324,2.7454,19,64841,8048985799,0.683333333333,3.02847222222,1.50094907407,0.123365677321,45.0284722222
216965,216965,1.1942,2.7038,71,586579,6683426742,8.31666666667,1.34652777778,1.57821759259,1.11601788432,42.3465277778
218665,218665,1.236,2.5801,44,601984,3683087833,1.06666666667,5.04444444444,1.93481481481,1.14532724505,53.0444444444
219649,219649,1.1012,2.5478,10,123571,4932578245,19.5166666667,1.81319444444,2.86043981481,0.235104642314,85.8131944444
220900,220900,1.0882,2.7185,70,512412,2460093296,20.2,5.84166666667,11.8613888889,0.974908675799,355.841666667
222945,222945,1.1902,2.6574,73,142336,3952821602,20.2666666667,0.844444444444,3.29481481481,0.270806697108,98.8444444444
224960,224960,1.1835,2.5715,63,189734,2355236719,18.2333333333,5.75972222222,4.39199074074,0.360985540335,131.759722222
226003,226003,1.1349,2.7489,70,90990,5009192468,4.5,0.1875,2.10625,0.173116438356,63.1875
233395,233395,1.0931,2.6054,46,78292,5491139741,8.86666666667,5.36944444444,1.81231481481,0.14895738204,54.3694444444
242268,242268,1.068,2.7032,57,16824,2460093296,16.4,4.68333333333,0.389444444444,0.0320091324201,11.6833333333
242938,242938,1.1079,2.6537,488,622527,5270522918,7.45,5.31041666667,2.41034722222,1.18441210046,67.3104166667
245973,245973,1.1889,2.6526,16,773796,6502303487,8.6,5.35833333333,5.91194444444,1.47221461187,172.358333333
249194,249194,1.1244,2.6027,6,166693,4423196276,18.2166666667,3.75902777778,3.85863425926,0.317148021309,115.759027778
252424,252424,1.1945,2.683,21,407977,3533177779,7.61666666667,3.31736111111,9.44391203704,0.77621194825,283.317361111
254836,254836,1.181,2.6666,171,4845,5270522918,8.75,3.36458333333,0.112152777778,0.00921803652968,3.36458333333
255886,255886,1.0998,2.6686,4,109503,5270522918,1.05,6.04375,2.53479166667,0.208339041096,76.04375
255894,255894,1.0208,2.6807,69,659737,3312463746,3.61666666667,3.15069444444,3.27168981481,1.25520738204,93.1506944444
260026,260026,1.2273,2.5109,170,209896,7536975002,18.2666666667,5.76111111111,4.8587037037,0.399345509893,145.761111111
260519,260519,1.0747,2.7077,52,129049,2460093296,14.8166666667,5.61736111111,2.98724537037,0.245527016743,89.6173611111
263068,263068,1.0244,2.7403,23,159190,4614293027,13.1666666667,5.54861111111,3.6849537037,0.302872907154,110.548611111
264263,264263,1.103,2.6821,845,130299,2215268322,11.65,6.48541666667,3.01618055556,0.247905251142,90.4854166667
266375,266375,1.1341,2.5443,872,592324,7803770431,8.06666666667,5.33611111111,1.7112037037,1.12694824962,46.3361111111
268128,268128,1.2064,2.6891,170,250859,6683426742,4.98333333333,6.20763888889,5.8069212963,0.477281202435,174.207638889
269195,269195,1.1952,2.6964,161,484230,2215268322,6.5,0.270833333333,11.2090277778,0.921289954338,336.270833333
271465,271465,1.0821,2.5939,165,679716,6861654717,0.6,3.025,3.73416666667,1.29321917808,107.025
274572,274572,1.192,2.5193,35,708657,9508712945,2.95,2.12291666667,4.40409722222,1.34828196347,127.122916667
275623,275623,1.1813,2.6237,973,394783,5491139741,3.71666666667,1.15486111111,9.13849537037,0.751109208524,274.154861111
276048,276048,1.0235,2.532,24,475813,1228935308,10.2166666667,1.42569444444,11.0141898148,0.90527587519,330.425694444
279321,279321,1.0612,2.6992,66,114393,3312463746,10.55,2.43958333333,2.64798611111,0.217642694064,79.4395833333
279365,279365,1.0612,2.7422,60,747754,5911788013,6.56666666667,1.27361111111,5.30912037037,1.4226674277,154.273611111
281468,281468,1.2069,2.7277,199,355302,6829001048,17.7,1.7375,8.22458333333,0.675993150685,246.7375
281481,281481,1.0357,2.5829,94,753335,1097200869,3.58333333333,5.14930555556,5.43831018519,1.43328576865,158.149305556
283844,283844,1.1798,2.5768,72,345014,2355236719,14.2333333333,1.59305555556,7.98643518519,0.656419330289,239.593055556
285612,285612,1.2253,2.7143,74,538957,8048985799,6.61666666667,3.27569444444,0.475856481481,1.02541286149,9.27569444444
286777,286777,1.0034,2.6923,10,16833,2460093296,16.55,4.68958333333,0.389652777778,0.0320262557078,11.6895833333
287391,287391,1.0429,2.6517,11,102750,5270522918,8.5,1.35416666667,2.37847222222,0.19549086758,71.3541666667
287993,287993,1.0768,2.6417,50,542691,7914558846,20.85,5.86875,0.562291666667,1.03251712329,11.86875
289562,289562,1.1101,2.5864,70,17456,1812226671,2.93333333333,5.12222222222,0.404074074074,0.0332115677321,12.1222222222
290396,290396,1.1988,2.5259,46,609078,3992589015,23.3,2.97083333333,2.09902777778,1.15882420091,57.9708333333
295612,295612,1.1274,2.5905,10,118613,2355236719,8.88333333333,5.37013888889,2.7456712963,0.225671613394,82.3701388889
299137,299137,1.0385,2.628,70,771825,4496840916,23.75,3.98958333333,5.86631944444,1.46846461187,170.989583333
300536,300536,1.0494,2.6806,64,233293,3312463746,0.216666666667,1.00902777778,5.40030092593,0.443860350076,162.009027778
304429,304429,1.1817,2.566,39,628237,2355236719,6.61666666667,2.27569444444,2.54252314815,1.19527587519,71.2756944444
305711,305711,1.1928,2.6084,172,103270,7551043473,17.1666666667,1.71527777778,2.39050925926,0.19648021309,71.7152777778
307736,307736,1.1781,2.513,7,525120,3992589015,16.0,0.666666666667,0.155555555556,0.999086757991,364.666666667
308338,308338,1.1217,2.6268,65,102443,7098464262,3.38333333333,1.14097222222,2.37136574074,0.194906773212,71.1409722222
310248,310248,1.0297,2.5466,36,451675,4932578245,15.9166666667,5.66319444444,10.4554398148,0.859351217656,313.663194444
312067,312067,1.0275,2.5864,68,453358,1913341282,19.9666666667,6.83194444444,10.4943981481,0.862553272451,314.831944444
312948,312948,1.2412,2.737,60,761542,8094036741,20.3666666667,3.84861111111,5.62828703704,1.44890030441,163.848611111
314320,314320,1.0486,2.6134,55,502775,3333445626,3.58333333333,6.14930555556,11.6383101852,0.956573439878,349.149305556
315325,315325,1.022,2.6672,58,575151,3312463746,9.85,0.410416666667,1.31368055556,1.09427511416,34.4104166667
315342,315342,1.0595,2.6318,71,692930,5606572086,4.83333333333,5.20138888889,4.0400462963,1.31835996956,116.201388889
315483,315483,1.1177,2.5442,97,567039,4932578245,18.65,1.77708333333,1.12590277778,1.0788413242,28.7770833333
324317,324317,1.0096,2.5245,165,237683,2584530303,1.38333333333,4.05763888889,5.5019212963,0.452212709285,165.057638889
326107,326107,1.2036,2.5041,35,422110,8850514709,3.16666666667,6.13194444444,9.77106481481,0.803101217656,293.131944444
326370,326370,1.2146,2.6459,69,300353,5784939944,13.8833333333,5.57847222222,6.95261574074,0.571447869102,208.578472222
326876,326876,1.1623,2.6712,65,542693,7914558846,20.8833333333,5.87013888889,0.562337962963,1.03252092846,11.8701388889
328917,328917,1.0079,2.6156,154,618964,7203076986,20.0666666667,2.83611111111,2.32787037037,1.17763318113,64.8361111111
330996,330996,1.0605,2.6056,67,73248,7203076986,20.8,1.86666666667,1.69555555556,0.139360730594,50.8666666667
331320,331320,1.1932,2.743,1,42420,8048985799,11.0,1.45833333333,0.981944444444,0.0807077625571,29.4583333333
332467,332467,1.1025,2.5601,120,775587,4932578245,14.45,6.60208333333,5.95340277778,1.47562214612,173.602083333
332906,332906,1.0215,2.7456,57,580537,6424972551,3.61666666667,4.15069444444,1.43835648148,1.10452245053,38.1506944444
337042,337042,1.0604,2.6873,3,25187,3312463746,11.7833333333,3.49097222222,0.583032407407,0.0479204718417,17.4909722222
339066,339066,1.1596,2.6937,175,706991,3951163044,23.1833333333,0.965972222222,4.36553240741,1.34511225266,125.965972222
340180,340180,1.1558,2.6392,51,346344,5606572086,12.4,2.51666666667,8.01722222222,0.658949771689,240.516666667
343938,343938,1.127,2.6158,66,785348,5606572086,9.13333333333,6.38055555556,6.17935185185,1.49419330289,180.380555556
345692,345692,1.0349,2.5271,64,584412,6399991653,20.2,6.84166666667,1.52805555556,1.11189497717,40.8416666667
345728,345728,1.0229,2.5394,17,781695,4264575584,20.25,3.84375,6.09479166667,1.48724315068,177.84375
345925,345925,1.0954,2.6554,198,339877,5270522918,0.616666666667,5.02569444444,7.86752314815,0.646645738204,236.025694444
352569,352569,1.2031,2.662,55,620519,9010126098,21.9833333333,3.91597222222,2.36386574074,1.18059170472,65.9159722222
353112,353112,1.1006,2.6459,12,69676,5270522918,9.26666666667,6.38611111111,1.61287037037,0.132564687976,48.3861111111
356737,356737,1.1566,2.6496,8,311400,1435128522,6.0,6.25,7.20833333333,0.592465753425,216.25
358439,358439,1.124,2.5796,21,57662,1812226671,1.03333333333,5.04305555556,1.33476851852,0.109707001522,40.0430555556
360947,360947,1.037,2.5447,37,649827,5035268417,6.45,3.26875,3.04229166667,1.23635273973,86.26875
361167,361167,1.0199,2.5453,172,768810,4932578245,21.5,1.89583333333,5.79652777778,1.4627283105,168.895833333
361507,361507,1.1111,2.61,45,703051,7618896878,5.51666666667,5.22986111111,4.2743287037,1.33761605784,123.229861111
362526,362526,1.2346,2.7423,66,567921,8048985799,9.35,2.38958333333,1.14631944444,1.08051940639,29.3895833333
362754,362754,1.1566,2.6955,5,125735,6683426742,7.58333333333,3.31597222222,2.91053240741,0.239221841705,87.3159722222
363087,363087,1.1655,2.6675,64,194214,3952821602,20.9,1.87083333333,4.49569444444,0.36950913242,134.870833333
365085,365085,1.0513,2.5107,410,119052,3992589015,16.2,5.675,2.75583333333,0.226506849315,82.675
365845,365845,1.2443,2.7312,10,757671,6829001048,3.85,1.16041666667,5.53868055556,1.44153538813,161.160416667
366673,366673,1.178,2.6909,753,625099,7419370539,2.31666666667,0.0965277777778,2.46988425926,1.18930555556,69.0965277778
367452,367452,1.1802,2.7412,77,104008,5009192468,5.46666666667,2.22777777778,2.40759259259,0.197884322679,72.2277777778
368717,368717,1.1258,2.6196,56,482126,5606572086,19.4333333333,5.80972222222,11.1603240741,0.917286910198,334.809722222
370263,370263,1.0446,2.6625,29,669203,6313450246,17.3833333333,2.72430555556,3.49081018519,1.27321727549,99.7243055556
371154,371154,1.0266,2.6575,63,71097,1582523772,8.95,0.372916666667,1.64576388889,0.13526826484,49.3729166667
371408,371408,1.001,2.6535,61,517913,6237569496,15.8833333333,2.66180555556,11.9887268519,0.985374809741,359.661805556
372135,372135,1.0651,2.5697,73,368730,6861654717,1.5,4.0625,8.53541666667,0.70154109589,256.0625
372247,372247,1.0059,2.7351,267,454349,6424972551,12.4833333333,0.520138888889,10.517337963,0.864438736682,315.520138889
372734,372734,1.2347,2.7345,169,549025,8048985799,6.41666666667,3.26736111111,0.708912037037,1.04456811263,16.2673611111
375006,375006,1.022,2.6042,76,679800,1097200869,2.0,3.08333333333,3.73611111111,1.29337899543,107.083333333
375904,375904,1.0215,2.5935,316,194317,1097200869,22.6166666667,1.94236111111,4.4980787037,0.369705098935,134.942361111
376734,376734,1.12,2.6567,10,158482,5270522918,1.36666666667,5.05694444444,3.66856481481,0.30152587519,110.056944444
376900,376900,1.18,2.5778,14,76856,1812226671,8.93333333333,4.37222222222,1.77907407407,0.146225266362,53.3722222222
377717,377717,1.2279,2.6725,62,774957,2327054745,3.95,6.16458333333,5.93881944444,1.47442351598,173.164583333
